date,store,item,sales
2020/5/30,1,1,0.107172347
2020/5/31,1,1,0.103231187
2020/6/1,1,1,0.115409486
2020/6/2,1,1,0.10443824
2020/6/3,1,1,0.106752863
2020/6/4,1,1,0.108861889
2020/6/5,1,1,0.106155968
2020/6/6,1,1,0.106792656
2020/6/7,1,1,0.108003024
2020/6/8,1,1,0.108588312
2020/6/9,1,1,0.108437431
2020/6/10,1,1,0.110261274
2020/6/11,1,1,0.100385992
2020/6/12,1,1,0.103426836
2020/6/13,1,1,0.103504764
2020/6/14,1,1,0.101415634
2020/6/15,1,1,0.102743723
2020/6/16,1,1,0.10437026
2020/6/17,1,1,0.103393675
2020/6/18,1,1,0.102125275
2020/6/19,1,1,0.100896668
2020/6/20,1,1,0.101639469
2020/6/21,1,1,0.100604853
2020/6/22,1,1,0.107026439
2020/6/23,1,1,0.106046538
2020/6/24,1,1,0.100697703
2020/6/25,1,1,0.099794072
2020/6/26,1,1,0.098343287
2020/6/27,1,1,0.095828041
2020/6/28,1,1,0.097746393
2020/6/29,1,1,0.098764429
2020/6/30,1,1,0.097935409
2020/7/1,1,1,0.099502257
2020/7/2,1,1,0.097101416
2020/7/3,1,1,0.096802969
2020/7/4,1,1,0.097918829
2020/7/5,1,1,0.097033436
2020/7/6,1,1,0.101311178
2020/7/7,1,1,0.099935005
2020/7/8,1,1,0.102818335
2020/7/9,1,1,0.099598423
2020/7/10,1,1,0.100417494
2020/7/11,1,1,0.09955863
2020/7/12,1,1,0.100677806
2020/7/13,1,1,0.099729408
2020/7/14,1,1,0.099891896
2020/7/15,1,1,0.098984948
2020/7/16,1,1,0.097933751
2020/7/17,1,1,0.098273649
2020/7/18,1,1,0.098512407
2020/7/19,1,1,0.099139146
2020/7/20,1,1,0.09838308
2020/7/21,1,1,0.102112011
2020/7/22,1,1,0.104207772
2020/7/23,1,1,0.105632028
2020/7/24,1,1,0.104749951
2020/7/25,1,1,0.107364679
2020/7/26,1,1,0.111151641
2020/7/27,1,1,0.129229244
2020/7/28,1,1,0.127334105
